"id","app_label","model"
1,admin,logentry
3,auth,group
2,auth,permission
6,compra,detallepedido
7,compra,pedidoinsumo
8,compra,presupuesto
4,contenttypes,contenttype
20,herramienta,estadoherramienta
21,herramienta,herramienta
22,herramienta,tipoherramienta
16,inventario,ajustestock
17,inventario,insumo
18,inventario,ordenretiro
19,inventario,tipoinsumo
5,sessions,session
10,tarea,empleado
11,tarea,encuestasatisfaccion
12,tarea,ordenservicio
13,tarea,sector
14,tarea,tarea
15,tarea,tiempo
9,usuario,usuario
